sentence,tactic,labels
"Bonadan has discovered the OS version, CPU model, and RAM size of the system it has been installed on.",Discovery,T1082
"BoomBox can enumerate the hostname, domain, and IP of a compromised host.",Discovery,T1082
Brave Prince collects hard drive content and system configuration information.,Discovery,T1082
Bumblebee can enumerate the OS version and domain on a targeted system.,Discovery,T1082
"Bundlore will enumerate the macOS version to determine which follow-on behaviors to execute using ""/usr/bin/sw_vers -productVersion"".",Discovery,T1082
CARROTBAT has the ability to determine the operating system of the compromised host and whether Windows is being run with x86 or x64 architecture.,Discovery,T1082
"CORESHELL collects hostname, volume serial number and OS version data from the victim and sends the information to its C2 server.",Discovery,T1082
CaddyWiper can use `DsRoleGetPrimaryDomainInformation` to determine the role of the infected machine. CaddyWiper can also halt execution if the compromised host is identified as a domain controller.,Discovery,T1082
Cadelspy has the ability to discover information about the compromised host.,Discovery,T1082
"Cannon can gather system information from the victim’s machine such as the OS version, machine name, and drive information.",Discovery,T1082
Carberp has collected the operating system version from the infected system.,Discovery,T1082
"Cardinal RAT can collect the hostname, Microsoft Windows version, and processor architecture from a victim machine.",Discovery,T1082
"ChChes collects the victim hostname, window resolution, and Microsoft Windows version.",Discovery,T1082
"Chaes has collected system information, including the machine name and OS version.",Discovery,T1082
CharmPower can enumerate the OS version and computer name on a targeted system.,Discovery,T1082
"Chimera has used `fsutil fsinfo drives`, `systeminfo`, and `vssadmin list shadows` for system information including shadow volumes and drive information.",Discovery,T1082
Chrommme has the ability to list drives and obtain the computer name of a compromised host.,Discovery,T1082
"Clambling can discover the hostname, computer name, and Windows version of a targeted machine.",Discovery,T1082
Comnie collects the hostname of the victim machine.,Discovery,T1082
"Confucius has used a file stealer that can examine system drives, including those other than the C drive.",Discovery,T1082
CrackMapExec can enumerate the system drives and associated system name.,Discovery,T1082
"Crimson contains a command to collect the victim PC name, disk drive information, and operating system.",Discovery,T1082
"Cuba can enumerate local drives, disk type, and disk free space.",Discovery,T1082
Cyclops Blink has the ability to query device information.,Discovery,T1082
"DarkComet can collect the computer name, RAM used, and operating system version from the victim’s machine.",Discovery,T1082
"DarkWatchman can collect the OS version, system architecture, uptime, and computer name.",Discovery,T1082
Denis collects OS information and the computer name from the victim’s machine.,Discovery,T1082
"Derusbi gathers the name of the local host, version of GNU Compiler Collection (GCC), and the system information about the CPU, machine, and operating system.",Discovery,T1082
Diavol can collect the computer name and OS version from the system.,Discovery,T1082
"DownPaper collects the victim host name and serial number, and then sends the information to the C2 server.",Discovery,T1082
"Dtrack can collect the victim's computer name, hostname and adapter information to create a unique identifier.",Discovery,T1082
"During FunnyDream, the threat actors used Systeminfo to collect information on targeted hosts.",Discovery,T1082
"During Operation CuckooBees, the threat actors used the `systeminfo` command to gather details about a compromised system.",Discovery,T1082
"During Operation Wocao, threat actors discovered the local disks attached to the system and their hardware information including manufacturer and model, as well as the OS versions of systems connected to a targeted network.",Discovery,T1082
DustySky extracts basic information about the operating system.,Discovery,T1082
EVILNUM can obtain the computer name from the victim's system.,Discovery,T1082
Egregor can perform a language check of the infected system and can query the CPU information (cupid).,Discovery,T1082
"Elise executes ""systeminfo"" after initial communication is made to the remote server.",Discovery,T1082
Emissary has the capability to execute ver and systeminfo commands.,Discovery,T1082
"Empire can enumerate host system information like OS, architecture, domain name, applied patches, and more.",Discovery,T1082
EnvyScout can determine whether the ISO payload was received by a Windows or iOS device.,Discovery,T1082
"Epic collects the OS version, hardware information, computer name, available system memory status, disk space information, and system and user language settings.",Discovery,T1082
Explosive has collected the computer name from the infected host.,Discovery,T1082
"FALLCHILL can collect operating system (OS) version information, processor information, system name, and information about installed disks from the victim.",Discovery,T1082
"FELIXROOT collects the victim’s computer name, processor architecture, OS version, volume serial number, and system type.",Discovery,T1082
"Ferocious can use ""GET.WORKSPACE"" in Microsoft Excel to determine the OS version of the compromised host.",Discovery,T1082
Final1stspy obtains victim Microsoft Windows version information and CPU architecture.,Discovery,T1082
"GRIFFON has used a reconnaissance module that can be used to retrieve information about a victim's computer, including the resolution of the workstation .",Discovery,T1082
Gelsemium can determine the operating system and whether a targeted machine has a 32 or 64 bit architecture.,Discovery,T1082
"Gold Dragon collects endpoint information using the ""systeminfo"" command.",Discovery,T1082
"GravityRAT collects the MAC address, computer name, and CPU information.",Discovery,T1082
"Green Lambert can use `uname` to identify the operating system name, version, and processor type.",Discovery,T1082
"GrimAgent can collect the OS, and build version on a compromised host.",Discovery,T1082
"HAWKBALL can collect the OS version, architecture information, and computer name.",Discovery,T1082
HELLOKITTY can enumerate logical drives on a target system.,Discovery,T1082
HEXANE has collected the hostname of a compromised machine.,Discovery,T1082
"HermeticWiper can determine the OS version, bitness, and enumerate physical drives on a targeted host.",Discovery,T1082
Heyoka Backdoor can enumerate drives on a compromised host.,Discovery,T1082
"Higaisa collected the system volume serial number, GUID, and computer name.",Discovery,T1082
"Hildegard has collected the host's OS, CPU, and memory information.",Discovery,T1082
"HotCroissant has the ability to determine if the current user is an administrator, Windows product name, processor name, screen resolution, and physical RAM of the infected host.",Discovery,T1082
"Hydraq creates a backdoor through which remote attackers can retrieve information such as computer name, OS version, processor speed, memory size, and CPU speed.",Discovery,T1082
IcedID has the ability to identify the computer name and OS version on a compromised host.,Discovery,T1082
Inception has used a reconnaissance module to gather information about the operating system and hardware on the infected host.,Discovery,T1082
Industroyer collects the victim machine’s Windows GUID.,Discovery,T1082
InnaputRAT gathers volume drive information and system information.,Discovery,T1082
Ixeshe collects the computer name of the victim's system during the initial infection.,Discovery,T1082
JPIN can obtain system information such as OS version and disk space.,Discovery,T1082
KARAE can collect system information.,Discovery,T1082
KGH_SPY can collect drive information from a compromised host.,Discovery,T1082
KOMPROGO is capable of retrieving information about the infected system.,Discovery,T1082
"KONNI can gather the OS version, architecture information, connected drives, hostname, RAM size, and disk space information from the victim’s machine and has used ""cmd /c systeminfo"" command to get a snapshot of the current system state of the target machine.",Discovery,T1082
Kasidet has the ability to obtain a victim's system name and operating system version.,Discovery,T1082
Kazuar gathers information on the system and local drives.,Discovery,T1082
"Ke3chang performs operating system information discovery using ""systeminfo"" and has used implants to identify the system language and computer name.",Discovery,T1082
"Kessel has collected the system architecture, OS version, and MAC address information.",Discovery,T1082
Kevin can enumerate the OS version and hostname of a targeted machine.,Discovery,T1082
"KeyBoy can gather extended system information, such as information about the operating system, disks, and memory.",Discovery,T1082
"KillDisk retrieves the hard disk name by calling the ""CreateFileA to \\.\PHYSICALDRIVE0"" API.",Discovery,T1082
"Kimsuky has enumerated drives, OS type, OS version, and other information using a script or the ""systeminfo"" command.",Discovery,T1082
"Koadic can obtain the OS version and build, computer name, and processor architecture from a compromised host.",Discovery,T1082
Kobalos can record the hostname and kernel version of the target machine.,Discovery,T1082
"Kwampirs collects OS version information such as registered owner details, manufacturer details, processor type, available storage, installed patches, hostname, version info, system date, and other system information by using the commands ""systeminfo"", ""net config workstation"", ""hostname"", ""ver"", ""set"", and ""date /t"".",Discovery,T1082
Linfo creates a backdoor through which remote attackers can retrieve system information.,Discovery,T1082
LitePower has the ability to list local drives and enumerate the OS architecture.,Discovery,T1082
"Lizar can collect the computer name from the machine,.",Discovery,T1082
Lokibot has the ability to discover the computer name and Windows product name/version.,Discovery,T1082
LoudMiner has monitored CPU usage.,Discovery,T1082
"MacMa can collect information about a compromised computer, including: Hardware UUID, Mac serial number, macOS version, and disk sizes.",Discovery,T1082
"Magic Hound malware has used a PowerShell command to check the victim system architecture to determine if it is an x64 machine. Other malware has obtained the OS version, UUID, and computer/host name to send to the C2 server.",Discovery,T1082
MarkiRAT can obtain the computer name from a compromised host.,Discovery,T1082
Metamorfo has collected the hostname and operating system version from the compromised host.,Discovery,T1082
Meteor has the ability to discover the hostname of a compromised host.,Discovery,T1082
Milan can enumerate the targeted machine's name and GUID.,Discovery,T1082
MiniDuke can gather the hostname on a compromised machine.,Discovery,T1082
"MobileOrder has a command to upload to its C2 server victim mobile device information, including IMEI, IMSI, SIM card serial number, phone number, Android version, and other information.",Discovery,T1082
Mongall can identify drives on compromised hosts and retrieve the hostname via `gethostbyname`.,Discovery,T1082
"MoonWind can obtain the victim hostname, Windows version, RAM amount, number of drives, and screen resolution.",Discovery,T1082
More_eggs has the capability to gather the OS version and computer name.,Discovery,T1082
MuddyWater has used malware that can collect the victim’s OS version and machine name.,Discovery,T1082
"Mustang Panda has gathered system information using ""systeminfo"".",Discovery,T1082
NETWIRE can discover and collect victim system information.,Discovery,T1082
Naid collects a unique identifier (UID) from a compromised host.,Discovery,T1082
"Nebulae can discover logical drive information including the drive type, free space, and volume information.",Discovery,T1082
Netwalker can determine the system architecture it is running on to choose which version of the DLL to use.,Discovery,T1082
OSInfo discovers information about the infected machine.,Discovery,T1082
OceanSalt can collect the computer name from the system.,Discovery,T1082
"OilRig has run ""hostname"" and ""systeminfo"" on a victim.",Discovery,T1082
"Okrum can collect computer name, locale information, and information about the OS and architecture.",Discovery,T1082
Orz can gather the victim OS version and whether it is 64 or 32 bit.,Discovery,T1082
POWERSTATS can retrieve OS name/architecture and computer/domain name information from compromised hosts.,Discovery,T1082
PUNCHBUGGY can gather system information such as computer names.,Discovery,T1082
Pasam creates a backdoor through which remote attackers can retrieve information such as hostname and free disk space.,Discovery,T1082
"Patchwork collected the victim computer name, OS version, and architecture type and sent the information to its C2 server. Patchwork also enumerated all available drives on the victim's machine.",Discovery,T1082
Penquin can report the file system type and disk space of a compromised host to C2.,Discovery,T1082
PipeMon can collect and send OS version and computer name as a part of its C2 beacon.,Discovery,T1082
PoetRAT has the ability to gather information about the compromised host.,Discovery,T1082
"Pony has collected the Service Pack, language, and region information to send to the C2.",Discovery,T1082
"PoshC2 contains modules, such as ""Get-ComputerInfo"", for enumerating common system information.",Discovery,T1082
PowerShower has collected system information on the infected host.,Discovery,T1082
"Proxysvc collects the OS version, country name, MAC address, computer name, physical memory statistics, and volume information for all drives on the system.",Discovery,T1082
QakBot can collect system information including the OS version and domain on a compromised host.,Discovery,T1082
QuasarRAT can gather system information from the victim’s machine including the OS type.,Discovery,T1082
"RATANKBA gathers information about the OS architecture, OS name, and OS version/Service pack.",Discovery,T1082
"REvil can identify the username, machine name, system language, keyboard layout, OS version, and system drive information on a compromised host.",Discovery,T1082
ROKRAT can gather the hostname and the OS version to ensure it doesn’t run on a Windows XP or Windows Server 2003 systems.,Discovery,T1082
"RTM can obtain the computer name, OS version, and default language identifier.",Discovery,T1082
"Ramsay can detect system information--including disk names, total space, and remaining space--to create a hardware profile GUID which acts as a system identifier for operators.",Discovery,T1082
"Reaver collects system information from the victim, including CPU speed, computer name, volume serial number, ANSI code page, OEM code page identifier for the OS, Microsoft Windows version, and memory information.",Discovery,T1082
"RedLeaves can gather extended system information including the hostname, OS version number, platform, memory information, time elapsed since system startup, and CPU information.",Discovery,T1082
"Remsec can obtain the OS version information, computer name, processor architecture, machine role, and OS edition.",Discovery,T1082
"Revenge RAT collects the CPU information, OS information, and system language.",Discovery,T1082
Rifdoor has the ability to identify the Windows version on the compromised host.,Discovery,T1082
"Rising Sun can detect the computer name, operating system, and drive information, including drive type, total number of bytes on disk, total number of free bytes on disk, and name of a specified volume.",Discovery,T1082
Rocke has used uname -m to collect the name and information about the infected system's kernel.,Discovery,T1082
"RogueRobin gathers BIOS versions and manufacturers, the number of CPU cores, the total physical memory, and the computer name.",Discovery,T1082
"RunningRAT gathers the OS version, logical drives information, processor information, and volume information.",Discovery,T1082
"Ryuk has called ""GetLogicalDrives"" to emumerate all mounted drives, and ""GetDriveTypeW"" to determine the drive type.",Discovery,T1082
"SDBbot has the ability to identify the OS version, OS bit information and computer name.",Discovery,T1082
"SHARPSTATS has the ability to identify the IP address, machine name, and OS of the compromised host.",Discovery,T1082
"SILENTTRINITY can collect information related to a compromised host, including OS version and a list of drives.",Discovery,T1082
SLOWDRIFT collects and sends system information to its C2.,Discovery,T1082
"SMOKEDHAM has used the ""systeminfo"" command on a compromised host.",Discovery,T1082
SOUNDBITE is capable of gathering system information.,Discovery,T1082
STARWHALE can gather the computer name of an infected host.,Discovery,T1082
"SUNBURST collected hostname, OS version, and device uptime.",Discovery,T1082
SYSCON has the ability to use Systeminfo to identify system information.,Discovery,T1082
"Saint Bot can identify the OS version, CPU, and other details from a victim's machine.",Discovery,T1082
Sandworm Team used a backdoor to enumerate information about the infected system's operating system.,Discovery,T1082
ServHelper will attempt to enumerate Windows version and system architecture.,Discovery,T1082
"Several Lazarus Group malware families collect information on the type and version of the victim OS, as well as the victim computer name and CPU information. A Destover-like variant used by Lazarus Group also collects disk space information and sends it to its C2 server.",Discovery,T1082
"ShadowPad has discovered system information including memory status, CPU frequency, OS versions, and volume serial numbers.",Discovery,T1082
SideTwist can collect the computer name of a targeted system.,Discovery,T1082
Skidmap has the ability to check whether the infected system’s OS is Debian or RHEL/CentOS to determine which cryptocurrency miner it should use.,Discovery,T1082
SodaMaster can enumerate the host name and OS version on a target system.,Discovery,T1082
"SombRAT can execute ""getinfo"" to enumerate the computer name and OS version of a compromised system.",Discovery,T1082
"SoreFang can collect the hostname, operating system configuration, product ID, and disk space on victim machines by executing Systeminfo.",Discovery,T1082
Sowbug obtained OS version and hardware configuration from a victim.,Discovery,T1082
"Spark can collect the hostname, keyboard layout, and language from the system.",Discovery,T1082
Squirrelwaffle has gathered victim computer information and configurations.,Discovery,T1082
"Stealth Falcon malware gathers system information via WMI, including the system directory, build number, serial number, version, manufacturer, model, and total physical memory.",Discovery,T1082
"StoneDrill has the capability to discover the system OS, Windows version, architecture and environment.",Discovery,T1082
StreamEx has the ability to enumerate system information.,Discovery,T1082
"StrifeWater can collect the OS version, architecture, and machine name to create a unique token for the infected host.",Discovery,T1082
StrongPity can identify the hard disk volume serial number on a compromised host.,Discovery,T1082
SysUpdate can determine whether a system has a 32 bit or 64 bit architecture.,Discovery,T1082
Systeminfo can be used to gather information about the operating system.,Discovery,T1082
"TeamTNT has searched for system version, architecture, disk partition, logical volume, and hostname information.",Discovery,T1082
The IceApple Server Variable Dumper module iterates over all server variables present for the current request and returns them to the adversary.,Discovery,T1082
The initial beacon packet for Mis-Type contains the operating system version and file system of the victim.,Discovery,T1082
The initial beacon packet for Misdat contains the operating system version of the victim.,Discovery,T1082
The initial beacon packet for S-Type contains the operating system version and file system of the victim.,Discovery,T1082
ThreatNeedle can collect system profile information from a compromised host.,Discovery,T1082
"Trojan.Karagany can capture information regarding the victim's OS, security, and hardware configuration.",Discovery,T1082
Tropic Trooper has detected a target system’s OS version and system volume information.,Discovery,T1082
Tropic Trooper has detected a target system’s OS version.,Discovery,T1082
"Turla surveys a system upon check-in to discover operating system configuration details using the ""systeminfo"" and ""set"" commands.",Discovery,T1082
UPPERCUT has the capability to gather the system’s hostname and OS version.,Discovery,T1082
Ursnif has used Systeminfo to gather system information.,Discovery,T1082
"VERMIN collects the OS name, machine name, and architecture information.",Discovery,T1082
Valak can determine the Windows version and computer name on a compromised host.,Discovery,T1082
"Volgmer can gather system information, the computer name, OS version, drive and serial information from the victim's machine.",Discovery,T1082
WINDSHIELD can gather the victim computer name.,Discovery,T1082
WINERACK can gather information about the host.,Discovery,T1082
WellMess can identify the computer name of a compromised host.,Discovery,T1082
WhisperGate has the ability to enumerate fixed logical drives on a targeted system.,Discovery,T1082
"WinMM collects the system name, OS version including service pack, and system install date and sends the information to the C2 server.",Discovery,T1082
Windigo has used a script to detect which Linux distribution and version is currently installed on the system.,Discovery,T1082
Windshift has used malware to identify the computer name of a compromised host.,Discovery,T1082
Wingbird checks the victim OS version after executing to determine where to drop files based on whether the victim is 32-bit or 64-bit.,Discovery,T1082
Winnti for Windows can determine if the OS on a compromised host is newer than Windows XP.,Discovery,T1082
"XAgentOSX contains the getInstalledAPP function to run ""ls -la /Applications"" to gather what applications are installed.",Discovery,T1082
"XCSSET identifies the macOS version and uses ""ioreg"" to determine serial number.",Discovery,T1082
YAHOYAH checks for the system’s Windows OS version and hostname.,Discovery,T1082
ZIRCONIUM has used a tool to capture the processor architecture of a compromised host in order to register it with C2.,Discovery,T1082
"ZeroT gathers the victim's computer name, Windows version, and system language, and then sends it to its C2 server.",Discovery,T1082
"Zeus Panda collects the OS version, system architecture, computer name, product ID, install date, and information on the keyboard mapping to determine the language used on the system.",Discovery,T1082
Zox can enumerate attached drives.,Discovery,T1082
"ZxShell can collect the local hostname, operating system details, CPU speed, and total physical memory.",Discovery,T1082
ZxxZ has collected the host name and operating system product name from a compromised machine.,Discovery,T1082
"admin@338 actors used the following commands after exploiting a machine with LOWBALL malware to obtain information about the OS: ""ver >> %temp%\download"" ""systeminfo >> %temp%\download""",Discovery,T1082
build_downer has the ability to send system volume information to C2.,Discovery,T1082
cmd can be used to find information about the operating system.,Discovery,T1082
down_new has the ability to identify the system volume information of a compromised host.,Discovery,T1082
"gh0st RAT has gathered system architecture, processor, OS configuration, and installed hardware information.",Discovery,T1082
"jRAT collects information about the OS (version, build type, install date) as well as system up-time upon receiving a connection from a backdoor.",Discovery,T1082
njRAT enumerates the victim operating system and computer name during the initial infection.,Discovery,T1082
3PARA RAT has a command to retrieve metadata for files on disk as well as a command to list the current working directory.,Discovery,T1083
4H RAT has the capability to obtain file and directory listings.,Discovery,T1083
A Patchwork payload has searched all fixed drives on the victim for files matching a specified list of extensions.,Discovery,T1083
"A module in Prikormka collects information about the paths, size, and creation time of files with specific file extensions, but not the actual content of the file.",Discovery,T1083
"A variant of Elise executes ""dir C:\progra~1"" when initially run.",Discovery,T1083
"A version of KONNI searches for filenames created with a previous version of the malware, suggesting different versions targeted the same victims and the versions may work together.",Discovery,T1083
ADVSTORESHELL can list files and directories.,Discovery,T1083
"APT28 has used Forfiles to locate PDF, Excel, and Word documents during collection. The group also searched a compromised DCCC computer for specific terms.",Discovery,T1083
"APT29 obtained information about the configured Exchange virtual directory using ""Get-WebServicesVirtualDirectory"".",Discovery,T1083
APT3 has a tool that looks for files and directories on the local file system.,Discovery,T1083
APT32's backdoor possesses the capability to list files and directories on a machine.,Discovery,T1083
"APT38 have enumerated files and directories, or searched in specific locations within a compromised host.",Discovery,T1083
Action RAT has the ability to collect drive and file information on an infected machine.,Discovery,T1083
Amadey has searched for folders associated with antivirus software.,Discovery,T1083
Aoqin Dragon has run scripts to identify file formats including Microsoft Word.,Discovery,T1083
"AppleSeed has the ability to search for .txt, .ppt, .hwp, .pdf, and .doc files in specified directories.",Discovery,T1083
Aria-body has the ability to gather metadata from a file and to search for file and directory names.,Discovery,T1083
Attor has a plugin that enumerates files with specific extensions on all hard disk drives and stores file information in encrypted log files.,Discovery,T1083
AuditCred can search through folders and files on the system.,Discovery,T1083
"AutoIt backdoor is capable of identifying documents on the victim with the following extensions: .doc; .pdf, .csv, .ppt, .docx, .pst, .xls, .xlsx, .pptx, and .jpeg.",Discovery,T1083
Avaddon has searched for specific files prior to encryption.,Discovery,T1083
Avenger has the ability to browse files in directories such as Program Files and the Desktop.,Discovery,T1083
Azorult can recursively search for files in folders and collects files from the desktop with certain extensions.,Discovery,T1083
BACKSPACE allows adversaries to search for files.,Discovery,T1083
"BADNEWS identifies files with certain extensions from USB devices, then copies them to a predefined directory.",Discovery,T1083
BBSRAT can list file and directory information.,Discovery,T1083
BLACKCOFFEE has the capability to enumerate files.,Discovery,T1083
"BLINDINGCAN can search, read, write, move, and execute files.",Discovery,T1083
"BRONZE BUTLER has collected a list of files from the victim and uploaded it to its C2 server, and then created a new list of specific files to steal.",Discovery,T1083
Babuk has the ability to enumerate files on a targeted system.,Discovery,T1083
"BabyShark has used ""dir"" to search for ""programfiles"" and ""appdata"".",Discovery,T1083
BackConfig has the ability to identify folders and files related to previous infections.,Discovery,T1083
"Backdoor.Oldrea collects information about available drives, default browser, desktop file list, My Documents, Internet history, program files, and root of available drives. It also searches for ICS-related software files.",Discovery,T1083
BadPatch searches for files with specific file extensions.,Discovery,T1083
Bandook has a command to list files on a system.,Discovery,T1083
Bazar can enumerate the victim's desktop.,Discovery,T1083
BlackMould has the ability to find files on the targeted system.,Discovery,T1083
BoomBox can search for specific files and directories on a machine.,Discovery,T1083
"BoxCaon has searched for files on the system, such as documents located in the desktop folder.",Discovery,T1083
Brave Prince gathers file and directory information from the victim’s machine.,Discovery,T1083
CaddyWiper can enumerate all files and directories on a compromised host.,Discovery,T1083
Cardinal RAT checks its current working directory upon execution and also contains watchdog functionality that ensures its executable is located in the correct path (else it will rewrite the payload).,Discovery,T1083
Caterpillar WebShell can search for files in directories.,Discovery,T1083
ChChes collects the victim's %TEMP% directory path and version of Internet Explorer.,Discovery,T1083
CharmPower can enumerate drives and list the contents of the C: drive on a victim's computer.,Discovery,T1083
Chimera has utilized multiple commands to identify data of interest in file and directory listings.,Discovery,T1083
China Chopper's server component can list directory contents.,Discovery,T1083
Clambling can browse directories on a compromised host.,Discovery,T1083
Clop has searched folders and subfolders for files to encrypt.,Discovery,T1083
Cobalt Strike can explore files on a compromised system.,Discovery,T1083
"Confucius has used a file stealer that checks the Document, Downloads, Desktop, and Picture folders for documents and images with specific extensions.",Discovery,T1083
Conti can discover files on a local system.,Discovery,T1083
CosmicDuke searches attached and mounted drives for file extensions and keywords that match a predefined list.,Discovery,T1083
CrackMapExec can discover specified filetypes and log files on a targeted system.,Discovery,T1083
"Crimson contains commands to list files and directories, as well as search for files matching certain extensions from a defined list.",Discovery,T1083
Cryptoistic can scan a directory to identify files for deletion.,Discovery,T1083
Cuba can enumerate files by using a variety of functions.,Discovery,T1083
Cyclops Blink can use the Linux API `statvfs` to enumerate the current working directory.,Discovery,T1083
DDKONG lists files on the victim’s machine.,Discovery,T1083
DEATHRANSOM can use loop operations to enumerate directories on a compromised host.,Discovery,T1083
Dacls can scan directories on a compromised host.,Discovery,T1083
Dark Caracal collected file listings of all default Windows directories.,Discovery,T1083
DarkWatchman has the ability to enumerate file and folder names.,Discovery,T1083
Darkhotel has used malware that searched for files with specific patterns.,Discovery,T1083
Denis has several commands to search directories for files.,Discovery,T1083
"Derusbi is capable of obtaining directory, file, and drive listings.",Discovery,T1083
Diavol has a command to traverse the files and directories in a given path.,Discovery,T1083
Dragonfly 2.0 used a batch script to gather folder and file names from victim hosts.,Discovery,T1083
Dragonfly has used a batch script to gather folder and file names from victim hosts.,Discovery,T1083
DropBook can collect the names of all files and folders in the Program Files directories.,Discovery,T1083
Dtrack can list files on available disk volumes.,Discovery,T1083
"During C0015, the threat actors conducted a file listing discovery against multiple hosts to ensure locker encryption was successful.",Discovery,T1083
Dust Storm has used Android backdoors capable of enumerating specific files on the infected devices.,Discovery,T1083
"DustySky scans the victim for files that contain certain keywords and document types including PDF, DOC, DOCX, XLS, and XLSX, from a list that is obtained from the C2 as a text file. It can also identify logical drives for the infected machine.",Discovery,T1083
Ebury can list directory entries.,Discovery,T1083
Empire includes various modules for finding files of interest on hosts and network shares.,Discovery,T1083
"Epic recursively searches for all .doc files on the system and collects a directory listing of the Desktop, %TEMP%, and %WINDOWS%\Temp directories.",Discovery,T1083
FALLCHILL can search files on a victim.,Discovery,T1083
FIVEHANDS has the ability to enumerate files on a compromised host in order to encrypt files with specific extensions.,Discovery,T1083
"FYAnti can search the ""C:\Windows\Microsoft.NET\"" directory for files of a specified size.",Discovery,T1083
FatDuke can enumerate directories on target machines.,Discovery,T1083
FinFisher enumerates directories and scans for certain files.,Discovery,T1083
FoggyWeb's loader can check for the FoggyWeb backdoor .pri file on a compromised AD FS server.,Discovery,T1083
"Forfiles can be used to locate certain types of files/directories in a system.(ex: locate all files with a specific extension, name, and/or age)",Discovery,T1083
"FunnyDream can identify files with .doc, .docx, .ppt, .pptx, .xls, .xlsx, and .pdf extensions and specific timestamps for collection.",Discovery,T1083
Fysbis has the ability to search for files.,Discovery,T1083
Gamaredon Group macros can scan for Microsoft Word and Excel files to inject with additional malicious macros. Gamaredon Group has also used its backdoors to automatically list interesting files (such as Office documents) found on a system.,Discovery,T1083
"Gelsemium can retrieve data from specific Windows directories, as well as open random files as part of Virtualization/Sandbox Evasion.",Discovery,T1083
"GeminiDuke collects information from the victim, including installed drivers, programs previously executed by users, programs and services configured to automatically run at startup, files and folders present in any user's home folder, files and folders present in any user's My Documents, programs installed to the Program Files folder, and recently accessed files, folders, and programs.",Discovery,T1083
"Gold Dragon lists the directories for Desktop, program files, and the user’s recently accessed files.",Discovery,T1083
"GoldenSpy has included a program ""ExeProtector"", which monitors for the existence of GoldenSpy on the infected system and redownloads if necessary.",Discovery,T1083
"GravityRAT collects the volumes mapped on the system, and also steals files with the following extensions: .docx, .doc, .pptx, .ppt, .xlsx, .xls, .rtf, and .pdf.",Discovery,T1083
HOPLIGHT has been observed enumerating system drives and partitions.,Discovery,T1083
"HTTPBrowser is capable of listing files, folders, and drives on a victim.",Discovery,T1083
Heyoka Backdoor has the ability to search the compromised host for files.,Discovery,T1083
Honeybee's service-based DLL implant traverses the FTP server’s directories looking for files with keyword matches for computer names or certain keywords.,Discovery,T1083
HotCroissant has the ability to retrieve a list of files in a given directory as well as drives and drive types.,Discovery,T1083
"Hydraq creates a backdoor through which remote attackers can check for the existence of files, including its own components, as well as retrieve a list of logical drives.",Discovery,T1083
"Imminent Monitor has a dynamic debugging feature to check whether it is located in the %TEMP% directory, otherwise it copies itself there.",Discovery,T1083
Inception used a file listing plugin to collect information about file and directories both on local and remote drives.,Discovery,T1083
InnaputRAT enumerates directories and obtains file attributes on a system.,Discovery,T1083
InvisiMole can list information about files in a directory and recently opened or used documents. InvisiMole can also search for specific files by supplied file mask.,Discovery,T1083
Ixeshe can list file and directory information.,Discovery,T1083
JPIN can enumerate drives and their types. It can also change file permissions using cacls.exe.,Discovery,T1083
KEYMARBLE has a command to search for files on the victim’s machine.,Discovery,T1083
Kasidet has the ability to search for a given filename on a victim.,Discovery,T1083
Ke3chang uses command-line interaction to search files and directories.,Discovery,T1083
KeyBoy has a command to launch a file browser or explorer on the system.,Discovery,T1083
"KillDisk has used the ""FindNextFile"" command as part of its file deletion process.",Discovery,T1083
Koadic can obtain a list of directories.,Discovery,T1083
"Kwampirs collects a list of files and directories in C:\ with the command ""dir /s /a c:\ >> ""C:\windows\TEMP\[RANDOM].tmp"""".",Discovery,T1083
Leafminer used a tool called MailSniper to search for files on the desktop and another utility called Sobolsoft to extract attachments from EML files.,Discovery,T1083
Linfo creates a backdoor through which remote attackers can list contents of drives and search for files.,Discovery,T1083
MESSAGETAP checks for the existence of two configuration files (keyword_parm.txt and parm.txt) and attempts to read the files every 30 seconds.,Discovery,T1083
"MacMa can search for a specific file on the compromised computer and can enumerate files in Desktop, Downloads, and Documents folders.",Discovery,T1083
Machete produces file listings in order to search for files to be exfiltrated.,Discovery,T1083
"Magic Hound malware can list a victim's logical drives and the type, as well the total/free space of the fixed devices. Other malware can list a directory's contents.",Discovery,T1083
"MarkiRAT can look for files carrying specific extensions such as: .rtf, .doc, .docx, .xls, .xlsx, .ppt, .pptx, .pps, .ppsx, .txt, .gpg, .pkr, .kdbx, .key, and .jpb.",Discovery,T1083
MegaCortex can parse the available drives and directories to determine which files to encrypt.,Discovery,T1083
Micropsia can perform a recursive directory listing for all volume drives available on the victim's machine and can also fetch specific files by their paths.,Discovery,T1083
MiniDuke can enumerate local drives.,Discovery,T1083
"Misdat is capable of running commands to obtain a list of files and directories, as well as enumerating logical drives.",Discovery,T1083
"MobileOrder has a command to upload to its C2 server information about files on the victim mobile device, including SD card size, installed app list, SMS content, contacts, and calling history.",Discovery,T1083
MoonWind has a command to return a directory listing for a specified directory.,Discovery,T1083
"NETEAGLE allows adversaries to enumerate and modify the infected host's file system. It supports searching for directories, creating directories, listing directory contents, reading and writing to files, retrieving file attributes, and retrieving volume information.",Discovery,T1083
NETWIRE has the ability to search for files on the compromised host.,Discovery,T1083
Nebulae can list files and directories on a compromised host.,Discovery,T1083
